case_name,category,label,stake_eur,floor_eur,oracle_eur,fitness,noop_score,noop_pass,rules_score,rules_pass,llm_score,llm_pass,claude_score,claude_pass,ds-cautious_score,ds-cautious_pass,ds-balanced_score,ds-balanced_pass,ds-aggressive_score,ds-aggressive_pass
G00-000,COMBO,"silent fault (Valencia 16%, 09:45) + missed cloud bank (Zaragoza, midday) + missed cloud bank (Valencia, midday) on a high-evening-price day",9710,18674,8963,1.2307,0.0,0,0.6014,1,0.0656,0,0.0,0,0.2721,0,0.0,0,0.2639,0
G00-001,ECLIPSE,"missed cloud bank (Valencia, midday) + missed cloud bank (Zaragoza, afternoon) + eclipse overlay",7268,16152,8883,1.1857,0.0,0,0.3668,0,0.2081,0,0.1988,0,0.4391,0,0.515,1,0.0893,0
G00-002,ECLIPSE,"under-forecast sun (Valencia, midday) + missed cloud bank (Zaragoza, afternoon) + eclipse overlay",7268,9682,2414,1.1857,0.0,0,0.126,0,0.3149,0,0.0611,0,0.5299,1,0.4576,0,0.1236,0
G00-003,WEATHER,"missed cloud bank (Zaragoza, midday) + under-forecast sun (Valencia, midday) on a high-evening-price day",6005,8424,2419,1.1317,0.0,0,0.2119,0,0.0554,0,0.2189,0,0.0598,0,0.0,0,0.0,0
G00-004,ECLIPSE,"under-forecast sun (Zaragoza, midday) + missed cloud bank (Zaragoza, afternoon) + eclipse overlay on a high-evening-price day",6444,11951,5507,1.0632,0.0,0,0.1247,0,0.3539,0,0.1629,0,0.3694,0,0.059,0,0.6163,1
G00-005,COMBO,"silent fault (Zaragoza 49%, 16:30) + missed cloud bank (Munich, morning)",5437,10287,4850,1.0517,0.0,0,0.071,0,0.1312,0,0.3868,0,0.1443,0,0.0,0,0.0,0
G00-006,COMBO,"silent fault (Zaragoza 35%, 15:15) + missed cloud bank (Zaragoza, midday) + under-forecast sun (Zaragoza, afternoon)",6253,3153,-3100,1.0412,0.0,0,0.0,0,0.0406,0,0.024,0,0.0627,0,0.0,0,0.0,0
G00-007,COMBO,"silent fault (Valencia 20%, 17:45) + missed cloud bank (Zaragoza, afternoon) on a high-evening-price day",4366,10566,6200,0.9967,0.0,0,0.2382,0,0.1634,0,0.5873,1,0.0,0,0.0,0,0.71,1
G00-008,WEATHER,"missed cloud bank (Valencia, midday) + missed cloud bank (Munich, midday)",4360,9689,5329,0.9961,0.0,0,0.0204,0,0.0898,0,0.0,0,0.4133,0,0.0,0,0.0,0
G00-009,COMBO,"silent fault (Munich 54%, 15:30) + under-forecast sun (Valencia, midday) + missed cloud bank (Valencia, midday) on a high-evening-price day",6528,5604,-924,0.9924,0.0,0,0.011,0,0.1491,0,0.1598,0,0.2329,0,0.4369,0,0.3829,0
G00-010,ECLIPSE,"silent fault (Zaragoza 30%, 16:30) + under-forecast sun (Zaragoza, midday) + under-forecast sun (Zaragoza, afternoon) + eclipse overlay",4202,524,-3678,0.9346,0.0,0,0.0,0,0.1134,0,0.093,0,0.2645,0,0.3036,0,0.0,0
G00-011,COMBO,"silent fault (Valencia 45%, 10:45) + under-forecast sun (Valencia, evening) + under-forecast sun (Valencia, afternoon) on a high-evening-price day",7608,4609,-2999,0.92,0.0,0,0.2015,0,0.3273,0,0.2881,0,0.2807,0,0.2881,0,0.2881,0
G00-012,COMBO,"silent fault (Zaragoza 52%, 17:45) + under-forecast sun (Valencia, evening) + under-forecast sun (Zaragoza, afternoon)",5443,1815,-3628,0.8951,0.0,0,0.0033,0,0.3112,0,0.011,0,0.3005,0,0.214,0,0.0035,0
G00-013,ECLIPSE,"under-forecast sun (Valencia, midday) + eclipse overlay",3272,802,-2470,0.8425,0.0,0,0.0,0,0.0997,0,0.1651,0,0.347,0,0.0,0,0.6595,1
G00-014,COMBO,"silent fault (Zaragoza 49%, 16:30) + missed cloud bank (Munich, midday) + missed cloud bank (Munich, morning) on a high-evening-price day",6845,12950,6104,0.7952,0.0,0,0.0974,0,0.3571,0,0.4402,0,0.2182,0,0.154,0,0.0,0
G00-015,ECLIPSE,"missed cloud bank (Zaragoza, afternoon) + eclipse overlay on a high-evening-price day",5321,11824,6503,0.7614,0.0,0,0.1436,0,0.3949,0,0.4576,0,0.5699,1,0.3404,0,0.4907,0
G00-016,COMBO,"silent fault (Zaragoza 52%, 17:45) + under-forecast sun (Valencia, evening)",3763,4282,518,0.7569,0.0,0,0.001,0,0.2512,0,0.0721,0,0.3752,0,0.1495,0,0.2237,0
G00-017,ECLIPSE,"under-forecast sun (Zaragoza, midday) + under-forecast sun (Zaragoza, afternoon) + eclipse overlay",6029,464,-5564,0.7419,0.0,0,0.0,0,0.4891,0,0.184,0,0.5171,1,0.4525,0,0.369,0
G00-018,COMBO,"silent fault (Zaragoza 16%, 18:00) + missed cloud bank (Munich, afternoon) + missed cloud bank (Munich, midday)",2643,6862,4219,0.7236,0.0,0,0.1075,0,0.2175,0,0.2407,0,0.6269,1,0.0,0,0.0166,0
G00-019,WEATHER,"missed cloud bank (Zaragoza, morning) on a high-evening-price day",2506,5568,3062,0.6945,0.0,0,0.004,0,0.0339,0,0.4355,0,0.1492,0,0.0,0,0.0,0
G00-020,WEATHER,"missed cloud bank (Munich, midday) + missed cloud bank (Munich, midday) on a high-evening-price day",2448,5440,2992,0.6819,0.0,0,0.2813,0,0.1455,0,0.3694,0,0.2451,0,0.0,0,0.0888,0
G00-021,WEATHER,"missed cloud bank (Zaragoza, midday)",2440,5423,2983,0.6803,0.0,0,0.34,0,0.0663,0,0.5641,1,0.0,0,0.0,0,0.7521,1
G00-022,WEATHER,"under-forecast sun (Zaragoza, midday) + under-forecast sun (Munich, morning)",4427,0,-4427,0.6796,0.0,0,0.0,0,0.1929,0,0.0,0,0.3837,0,0.0,0,0.0,0
G00-023,ECLIPSE,"silent fault (Zaragoza 54%, 09:45) + missed cloud bank (Valencia, midday) + missed cloud bank (Zaragoza, afternoon) + eclipse overlay",20410,31112,10702,0.6599,0.0,0,0.6405,1,0.6421,1,0.5964,1,0.1372,0,0.533,1,0.6086,1
G00-024,COMBO,"silent fault (Valencia 26%, 15:00) + under-forecast sun (Valencia, midday) on a high-evening-price day",6651,3173,-3478,0.6573,0.0,0,0.0,0,0.5445,1,0.3263,0,0.2512,0,0.5026,1,0.0,0
G00-025,ECLIPSE,"silent fault (Munich 46%, 16:00) + under-forecast sun (Zaragoza, midday) + eclipse overlay on a high-evening-price day",3249,4515,1266,0.6564,0.0,0,0.0,0,0.2021,0,0.2473,0,0.3043,0,0.0,0,0.4119,0
G00-026,WEATHER,"under-forecast sun (Valencia, evening) + under-forecast sun (Valencia, afternoon) on a high-evening-price day",4596,0,-4596,0.6545,0.0,0,0.0,0,0.461,0,0.1638,0,0.5694,1,0.4495,0,0.4033,0
G00-027,COMBO,"silent fault (Valencia 24%, 07:30) + under-forecast sun (Zaragoza, afternoon)",13676,7289,-6388,0.6394,0.0,0,0.4455,0,0.5647,1,0.5612,1,0.5034,1,0.3454,0,0.6358,1
